Date,Close,High,Low,Open,Volume
,MA,MA,MA,MA,MA
2023-05-16,375.8099365234375,379.13080592941753,372.9239733941019,378.14245660747537,2762700
2023-05-17,382.4911804199219,383.0051111993657,374.7128762280044,377.7471158283616,3260300
2023-05-18,387.4526672363281,387.4526672363281,381.3150267582531,382.5998687353872,3729500
2023-05-19,381.07781982421875,387.63058004459964,380.6528368942334,387.43289813380306,3368800
2023-05-22,380.04998779296875,382.85689642681734,379.7040594758261,380.504620064683,1808800
2023-05-23,369.3955383300781,377.5790690496788,366.1241046711404,377.0750012719487,3979000
2023-05-24,364.2066955566406,365.303748737126,361.32070249966324,365.0665545709724,2655700
2023-05-25,365.7287902832031,366.6677040386132,360.6585534530951,363.6236014087581,3752200
2023-05-26,370.0083312988281,371.3030664992522,365.7386549837363,366.67759890558324,2691300
2023-05-30,363.2183532714844,372.241986846711,361.9335112975112,371.8960585730949,3430100
2023-05-31,360.76727294921875,361.43937343794374,353.6808249204981,360.7475168203261,10695300
2023-06-01,366.5589904785156,366.7665353846016,361.785246504352,362.8823299034311,3389700
2023-06-02,369.3757629394531,371.4414091791319,367.81415428919206,370.2257287864875,2501200
2023-06-05,366.20318603515625,368.4566213204088,364.2363805034307,368.40721591829606,2316200
2023-06-06,375.5331726074219,375.9482925637383,367.4781322518382,368.60486487467875,2758700
2023-06-07,367.06304931640625,376.0668966749243,363.96951127998926,374.87100250537264,3714500
2023-06-08,363.3072814941406,365.46187552718175,361.58756352527604,365.0566487327434,2594700
2023-06-09,364.9183349609375,367.7746487944514,363.47535340770946,366.14387845858096,2201800
2023-06-12,370.9374084472656,371.58972266639415,365.6299770302994,366.3514829458574,2407500
2023-06-13,367.05316162109375,372.7855753988487,365.50144600758193,370.9373670651872,2444100
2023-06-14,370.3937683105469,373.6750648418504,367.68567090122156,368.58507232293647,2775400
2023-06-15,374.6238708496094,375.147694693451,366.2031167746926,368.9210769414604,2558100
2023-06-16,372.14312744140625,378.4389070934444,371.77744305903406,377.16392816509943,5886900
2023-06-20,370.2554626464844,375.0885058892481,369.39560345900645,370.64093340612965,3961700
2023-06-21,371.7577209472656,373.98150687685666,369.3066038198756,369.6030965456769,2301300
2023-06-22,373.3983154296875,374.0704158083478,369.59319514201223,370.739653670616,1933300
2023-06-23,375.3849182128906,376.6796532897785,368.8717004139287,370.61120470862835,3739100
2023-06-26,373.02276611328125,375.56280061901265,370.9768760425824,373.65529391326095,3327800
2023-06-27,377.34185791015625,378.3796125284393,374.5942482794961,375.90873947345625,2197300
2023-06-28,375.800048828125,376.9564005680212,374.2582264002463,376.7488556694291,2012400
